country,n,mu,sigma^2,phi,tau^2
Botswana,111,0.0013406577547769318,1.9099534140756182,372.2677193123558,0.34612725539424954
Burkina Faso,89,0.0035959794728361205,1.0940867962395946,110.3505874154398,9.998380935581813e-14
Burundi,246,0.020433475309626196,7.2637449875370175,45.85412427762734,5.340687932984413
Cameroon,116,0.04705090241842739,3.040364286751662,10.799987921755639,8.704989492836586e-12
Chad,232,0.00250441728962365,3.941028901562348,696.1317824102729,0.42336959033041927
Congo (Kinshasa),1391,0.007325675377966729,8.377497716838118,163.31860823382823,1.3155948442484333
Cote D'ivoire,479,0.013804941316161662,4.876387420936541,106.22004715565775,1.0855763307654094
Eritrea,329,0.0026859402526976297,1.8681883800463996,56.09687100600913,1.0656083642111251
Ethiopia,65,0.006636341450940024,6.03378866064253,249.10241888510222,5.525230825723858
Gabon,86,0.005180799061858433,0.29394284335650783,7.11794059427661,5.751230246882629e-12
Guinea,64,0.09906976828831379,6.988900388427473,85.36182089219122,1.9433342300613736
Kenya,788,9.013416993373595e-4,13.182517749466665,47.45982724141616,0.5926265688572002
Liberia,1193,0.06586415941796055,4.3524133443129704,58.82155047418721,0.5702444545183221
Madagascar,226,0.007767827529060902,7.897662231088756,55.15645599804914,1.1961487245448033
Malawi,857,0.006706710542718589,0.8908053146642968,44.40584154147075,1.2497435612932979
Mali,182,0.001292745387761446,9.250354628931508,87.45466083867643,2.201887233433724
Niger,358,0.0037258495450524834,0.3886898434432991,64.45773414764962,0.6463462097498835
Nigeria,2230,0.004035855303827427,1.8506486976777166,88.45412796086552,0.4240699913001835
Rwanda,158,0.004446646617121812,2.840282818936903,9.615109139084248,6.030562381169856e-14
Senegal,221,4.729351924013208e-4,9.276826270713656,233.16153300827818,0.8833482040397339
South Africa,180,0.0022243868677704966,0.006454319835940147,0.004785516776740894,0.20912963695056203
South Sudan,393,0.00592359321589898,8.25068149475203,164.49416421962772,0.6633704884388872
Swaziland,251,0.005604962061460574,0.12018115652239517,1.1869520522578825,3.9690055644731466e-12
Tanzania (Mainland),553,0.00484662723727648,4.1705125233851215,88.2466882534103,0.7808207103187094
The Gambia,222,0.008182192063139708,0.022889600251727774,4.940684032882027,0.03155622071528047
Togo,1052,0.007039778824899996,3.3550574935179074,33.755249524657465,0.38236183431898974
Uganda,1233,0.04045759334228857,4.723097995623798,49.331677094720355,1.6524322497180044
Zambia,101,0.029416930578685933,5.406604310241954,124.9953467773067,1.9546668546271306
