mu,sigma2,phi,nugget,correct_d,correct_subd,correct_school_d,correct_school_subd,overtreated_d,overtreated_subd,undertreated_d,undertreated_subd,se_d,se_subd,sp_d,sp_subd,ppv_d,ppv_subd,npv_d,npv_subd,prev_sim,prevl10
-7.656079145748784,1.661508222318186,41.74319353726743,0.31187785078332764,1,0.999552,0.9999173333333333,0.999496,0,4.346666666666667e-4,8.266666666666667e-5,6.933333333333333e-5,NA,NA,1,0.9995650286350508,NA,NA,NA,NA,0.0013203945566204953,0.9999173333333333
-6.624185416335835,1.661508222318186,41.74319353726743,0.31187785078332764,0.9994606666666667,0.9974306666666667,0.998662,0.9967713333333333,4.16e-4,0.0023926666666666666,9.22e-4,8.36e-4,NA,NA,0.9995804784775886,0.9976009159883233,NA,NA,NA,NA,0.0036010609104155833,0.9989546666666667
-5.959128927592053,1.661508222318186,41.74319353726743,0.31187785078332764,0.998914,0.9928846666666666,0.9953306666666667,0.9903666666666666,9.88e-4,0.006432666666666666,0.0036813333333333333,0.0032006666666666668,0.03449401908516644,0.14176474308710355,0.9990067128234887,0.9935360206348239,NaN,NaN,0.9963151471909898,0.9967715466371297,0.006823435612739924,0.9961466666666666
-5.580704122317411,1.661508222318186,41.74319353726743,0.31187785078332764,0.998676,0.9870680000000001,0.9918586666666667,0.982962,0.0013613333333333333,0.011535333333333333,0.00678,0.005502666666666667,0.04005448341357206,0.20041082061685103,0.9986237679919042,0.9883618165926087,NaN,NaN,0.9932064175482666,0.99440987677636,0.009103948240825895,0.9928066666666667
-5.341920751316607,1.661508222318186,41.74319353726743,0.31187785078332764,0.9952486666666667,0.9800293333333333,0.985492,0.973622,0.003462,0.017566,0.011046,0.008812,0.046343753425314986,0.22824680172228454,0.9964610056495051,0.9821665511081142,NaN,NaN,0.9888810401830586,0.9909558884865478,0.011702069431209803,0.9879953333333333
-5.150676553576746,1.661508222318186,41.74319353726743,0.31187785078332764,0.9929653333333334,0.9746486666666667,0.9793773333333333,0.9658833333333333,0.005602,0.021825999999999998,0.015020666666666667,0.012290666666666667,0.07883009792506349,0.23928951779524357,0.9942570792982329,0.977738089416091,NaN,0.15717612484201465,0.9848404245027469,0.9873256484862207,0.013797375299012435,0.983226
-4.988156673204861,1.661508222318186,41.74319353726743,0.31187785078332764,0.991896,0.966608,0.9724766666666667,0.9555613333333334,0.007170666666666666,0.028015333333333333,0.020352666666666668,0.016423333333333335,0.0935860228085228,0.26089430275780773,0.9926159520861983,0.9712389359160453,NaN,0.17981048654364437,0.9794278416299652,0.9829256099856238,0.01653591497957263,0.976982
-4.855871665726434,1.661508222318186,41.74319353726743,0.31187785078332764,0.9845286666666667,0.953734,0.959746,0.9409046666666666,0.014082666666666667,0.037556,0.026171333333333335,0.021539333333333334,0.1406651187641199,0.2937505894763323,0.9852528333887784,0.9609605602083985,NaN,0.19703888030929048,0.9731442193870923,0.9771728157437826,0.01965735279692689,0.9680706666666666
-4.029492417271244,1.661508222318186,41.74319353726743,0.31187785078332764,0.940594,0.8946,0.8813986666666667,0.8644513333333333,0.05444,0.08041133333333333,0.06416133333333333,0.05513733333333333,0.2830566016504883,0.3974901572006839,0.9386304577713104,0.9105600926007409,NaN,0.31105696272033995,0.9291585407050791,0.9367335225148812,0.038699667103339684,0.9059746666666667
-3.1188409475331467,1.661508222318186,41.74319353726743,0.31187785078332764,0.8393826666666667,0.7926726666666667,0.7330766666666667,0.7441286666666667,0.15661133333333332,0.146588,0.11031200000000001,0.10928333333333333,0.5553166696198514,0.5663652573122044,0.7843106301002614,0.7993857569532058,0.4777103683268353,0.49546221814186886,0.8389424261843393,0.8421907609417781,0.08417902019081328,0.740932
